key,creation-date,resolution-date,resolution,type,priority
CLI-98,2003-10-13T02:39:23.000+0000,2007-03-15T16:48:39.000+0000,Fixed,Improvement,Minor
CLI-97,2003-09-17T23:42:20.000+0000,2007-03-15T16:48:39.000+0000,Fixed,Improvement,Minor
CLI-96,2006-02-11T00:27:56.000+0000,2006-06-07T02:50:33.000+0000,Fixed,Improvement,Minor
CLI-94,2002-10-24T22:41:57.000+0000,2007-03-15T16:48:39.000+0000,Fixed,Improvement,Minor
CLI-93,2004-02-14T03:26:48.000+0000,2008-07-25T09:58:50.000+0000,Duplicate,Improvement,Minor
CLI-92,2002-08-05T00:26:49.000+0000,2007-03-15T16:48:38.000+0000,Fixed,Improvement,Minor
CLI-91,2004-02-14T03:06:02.000+0000,2007-03-15T16:48:38.000+0000,Fixed,Improvement,Minor
CLI-89,2003-10-23T16:11:35.000+0000,2007-03-15T16:48:38.000+0000,Fixed,Improvement,Minor
CLI-88,2002-10-24T22:56:31.000+0000,2007-03-15T16:48:38.000+0000,Incomplete,Improvement,Minor
CLI-86,2005-08-15T14:52:28.000+0000,2006-07-12T14:08:36.000+0000,Fixed,Improvement,Minor
CLI-85,2002-12-19T18:10:28.000+0000,2007-03-15T16:49:18.000+0000,Incomplete,Improvement,Minor
CLI-84,2003-05-24T22:19:02.000+0000,2007-03-15T16:49:18.000+0000,Won't Fix,Improvement,Minor
CLI-83,2003-10-29T05:15:56.000+0000,2007-03-15T16:49:18.000+0000,Fixed,Improvement,Minor
CLI-80,2005-08-15T14:41:48.000+0000,2006-07-12T13:20:40.000+0000,Fixed,Improvement,Minor
CLI-79,2005-08-15T14:43:35.000+0000,2007-10-27T22:58:53.000+0000,Won't Fix,Improvement,Minor
CLI-78,2004-09-10T03:35:49.000+0000,2007-03-15T16:49:18.000+0000,Fixed,Improvement,Minor
CLI-76,2003-05-24T22:39:11.000+0000,2007-03-15T16:49:18.000+0000,Fixed,Improvement,Minor
CLI-75,2004-10-07T09:23:27.000+0000,2007-03-15T16:49:18.000+0000,Won't Fix,Improvement,Minor
CLI-74,2004-09-01T11:18:57.000+0000,2007-03-15T16:49:18.000+0000,Fixed,Bug,Major
CLI-73,2002-08-14T09:46:49.000+0000,2007-03-15T16:49:17.000+0000,Fixed,Bug,Major
CLI-72,2003-05-24T22:21:54.000+0000,2007-03-15T16:49:17.000+0000,Fixed,Bug,Major
CLI-71,2006-03-29T19:59:46.000+0000,2007-05-24T20:07:21.000+0000,Fixed,Bug,Major
CLI-70,2003-11-21T17:26:40.000+0000,2007-03-15T16:49:17.000+0000,Duplicate,Bug,Minor
CLI-69,2003-11-27T16:16:07.000+0000,2007-03-15T16:49:17.000+0000,Fixed,Bug,Major
CLI-68,2002-10-23T23:14:48.000+0000,2007-03-15T16:49:17.000+0000,Duplicate,Bug,Major
CLI-67,2003-04-28T18:20:46.000+0000,2007-03-15T16:49:17.000+0000,Fixed,Bug,Major
CLI-66,2005-02-19T00:53:56.000+0000,2007-03-15T16:49:16.000+0000,Incomplete,Bug,Major
CLI-65,2004-12-04T08:28:39.000+0000,2007-03-15T16:49:16.000+0000,Fixed,Bug,Major
CLI-64,2006-03-10T20:36:08.000+0000,2007-03-15T16:49:16.000+0000,Fixed,Bug,Major
CLI-63,2004-07-22T05:25:06.000+0000,2007-03-15T16:49:16.000+0000,Fixed,Bug,Major
CLI-62,2003-01-28T17:32:17.000+0000,2007-03-15T16:49:16.000+0000,Fixed,Bug,Major
CLI-61,2006-04-18T15:17:42.000+0000,2008-06-09T07:37:21.000+0000,Fixed,Bug,Major
