_project,afferent-couplings,alert_status,blocker_violations,bugs,class_complexity,classes,code_smells,cognitive_complexity,comment_lines,comment_lines_density,complexity,complexity_in_classes,complexity_in_functions,confirmed_issues,coverage,critical_violations,development_cost,directories,duplicated_blocks,duplicated_files,duplicated_lines,duplicated_lines_density,efferent-couplings,effort_to_reach_maintainability_rating_a,false_positive_issues,file_complexity,file_complexity_distribution,files,function_complexity,function_complexity_distribution,functions,info_violations,line_coverage,lines,lines_to_cover,major_violations,minor_violations,missing_package_info,missing_package_info_count,ncloc,ncloc_language_distribution,new_blocker_violations,new_bugs,new_code_smells,new_critical_violations,new_info_violations,new_maintainability_rating,new_major_violations,new_minor_violations,new_reliability_rating,new_reliability_remediation_effort,new_security_rating,new_security_remediation_effort,new_sqale_debt_ratio,new_technical_debt,new_violations,new_vulnerabilities,number-of-classes-and-interfaces,open_issues,package,package-dependency-cycles,package_count,quality_gate_details,quality_profiles,reliability_rating,reliability_remediation_effort,reopened_issues,security_rating,security_remediation_effort,sqale_debt_ratio,sqale_index,sqale_rating,statements,uncovered_lines,violations,vulnerabilities,wont_fix_issues,code_smells:antisingleton,code_smells:baseclass_abstract,code_smells:class_data_private,code_smells:complex_class,code_smells:large_class,code_smells:lazy_class,code_smells:long_method,code_smells:long_parameter_list,code_smells:many_field_attributes_not_complex,code_smells:message_chains,code_smells:refused_parent_bequest,code_smells:spaghetti_code,code_smells:speculative_generality,code_smells:swiss_army_knife,common-java:DuplicatedBlocks,jdepend:afferent-couplings,squid:AssignmentInSubExpressionCheck,squid:ClassCyclomaticComplexity,squid:ClassVariableVisibilityCheck,squid:CommentedOutCodeLine,squid:EmptyStatementUsageCheck,squid:ForLoopCounterChangedCheck,squid:HiddenFieldCheck,squid:LabelsShouldNotBeUsedCheck,squid:MethodCyclomaticComplexity,squid:MissingDeprecatedCheck,squid:ModifiersOrderCheck,squid:ObjectFinalizeCheck,squid:ObjectFinalizeOverridenCallsSuperFinalizeCheck,squid:ObjectFinalizeOverridenCheck,squid:RedundantThrowsDeclarationCheck,squid:RightCurlyBraceStartLineCheck,squid:S00100,squid:S00101,squid:S00105,squid:S00107,squid:S00108,squid:S00112,squid:S00114,squid:S00115,squid:S00116,squid:S00117,squid:S00119,squid:S00120,squid:S00122,squid:S106,squid:S1065,squid:S1066,squid:S1067,squid:S1068,squid:S1118,squid:S1125,squid:S1126,squid:S1132,squid:S1133,squid:S1134,squid:S1135,squid:S1141,squid:S1143,squid:S1145,squid:S1147,squid:S1148,squid:S1149,squid:S1150,squid:S1151,squid:S1153,squid:S1155,squid:S1157,squid:S1158,squid:S1160,squid:S1161,squid:S1163,squid:S1165,squid:S1166,squid:S1168,squid:S1170,squid:S1171,squid:S1172,squid:S1174,squid:S1175,squid:S1181,squid:S1182,squid:S1185,squid:S1186,squid:S1188,squid:S1190,squid:S1191,squid:S1192,squid:S1193,squid:S1194,squid:S1195,squid:S1197,squid:S1199,squid:S1201,squid:S1206,squid:S1210,squid:S1213,squid:S1214,squid:S1215,squid:S1217,squid:S1219,squid:S1220,squid:S1221,squid:S1223,squid:S1226,squid:S1244,squid:S128,squid:S1301,squid:S1312,squid:S1313,squid:S1314,squid:S1319,squid:S134,squid:S135,squid:S1444,squid:S1452,squid:S1479,squid:S1481,squid:S1488,squid:S1596,squid:S1598,squid:S1700,squid:S1764,squid:S1850,squid:S1860,squid:S1862,squid:S1872,squid:S1905,squid:S1948,squid:S1994,squid:S2055,squid:S2061,squid:S2065,squid:S2066,squid:S2068,squid:S2077,squid:S2094,squid:S2109,squid:S2110,squid:S2111,squid:S2114,squid:S2116,squid:S2118,squid:S2123,squid:S2130,squid:S2131,squid:S2133,squid:S2134,squid:S2151,squid:S2153,squid:S2157,squid:S2160,squid:S2165,squid:S2166,squid:S2175,squid:S2176,squid:S2178,squid:S2183,squid:S2184,squid:S2200,squid:S2225,squid:S2232,squid:S2236,squid:S2250,squid:S2251,squid:S2252,squid:S2272,squid:S2273,squid:S2274,squid:S2275,squid:S2276,squid:S2326,squid:S2386,squid:S2388,squid:S2437,squid:S2438,squid:S2440,squid:S2447,squid:S888,squid:SwitchLastCaseIsDefaultCheck,squid:UnusedPrivateMethod,squid:UselessImportCheck,squid:UselessParenthesesCheck
QC:james,0,ERROR,22,30,13.4,529,4104,7748,15796,26.7,7090,7090,7002,0,0.0,404,1300680,54,200,60,6194,7.3,0,0,0,15.8,0=220;5=83;10=60;20=28;30=29;60=13;90=17,450,2.0,1=1804;2=702;4=212;6=92;8=45;10=23;12=73,3472,160,0.0,84315,24870,2313,1312,54,54,43356,java=43356,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,4211,54,0,54,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"22";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"4211";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},[{"key":"java-sonar-way-04122";"language":"java";"name":"Sonar way";"rulesUpdatedAt":"2017-03-16T16:05:56+0000"}],5.0,578,0,4.0,1200,3.9,51195,1.0,19472,24870,4211,77,0,1,0,2,56,0,7,81,7,0,0,1,0,1,0,60,0,3,3,13,225,3,5,38,0,84,14,165,1,0,2,120,0,3,5,6,1,32,149,0,5,107,60,0,0,148,278,0,13,12,50,5,35,8,184,14,0,146,49,2,4,1,35,419,0,7,0,24,4,1,2,55,0,8,309,46,6,1,48,1,0,20,0,2,15,6,32,1,112,1,0,0,27,2,0,0,1,79,21,1,0,0,0,0,0,40,0,5,0,10,12,0,5,164,17,9,0,0,49,29,0,0,3,0,0,0,0,0,6,12,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,3,11,0,0,0,0,1,0,0,1,0,0,0,1,2,0,0,0,0,13,0,0,3,0,4,0,0,0,4,0,0,0,0,0,0,4,4,299,0
QC:jasml,0,WARN,0,6,26.0,52,966,1435,475,7.6,1351,1351,1348,0,0.0,61,172620,6,22,3,268,3.7,0,2637,0,30.7,0=31;5=3;10=1;20=0;30=3;60=1;90=5,44,5.3,1=136;2=51;4=22;6=9;8=6;10=6;12=25,255,11,0.0,7289,4289,530,505,6,6,5754,java=5754,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,1107,6,0,6,{"level":"WARN";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"0";"level":"OK"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"1107";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},[{"key":"java-sonar-way-04122";"language":"java";"name":"Sonar way";"rulesUpdatedAt":"2017-03-16T16:05:56+0000"}],4.0,21,0,4.0,1525,6.5,11268,2.0,3321,4289,1107,135,0,3,0,27,10,0,2,4,5,2,0,0,0,0,0,3,0,0,3,110,18,0,38,8,0,27,1,76,0,0,0,15,0,11,21,19,1,4,1,0,49,69,89,0,0,0,29,0,0,2,0,2,110,1,24,1,0,10,0,0,1,13,1,29,0,45,0,0,0,0,1,1,0,3,7,0,1,0,9,0,0,0,0,0,1,0,0,0,21,0,0,0,0,3,0,0,0,8,1,0,0,0,1,0,0,24,2,11,0,0,0,0,4,81,0,11,0,3,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,8,0,1,0
QC:jasperreports,0,ERROR,9,195,16.9,1868,17351,23404,23669,10.9,31572,31572,31344,0,0.0,333,5809620,129,3896,300,64835,18.6,0,0,0,19.9,0=672;5=301;10=274;20=95;30=130;60=43;90=74,1589,1.7,1=12124;2=2463;4=824;6=278;8=152;10=87;12=296,18036,3549,0.0,349075,94245,8875,4809,129,129,193654,java=193654,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,17575,129,0,129,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"9";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"17575";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},[{"key":"java-sonar-way-04122";"language":"java";"name":"Sonar way";"rulesUpdatedAt":"2017-03-16T16:05:56+0000"}],4.0,3187,0,4.0,400,4.1,235355,1.0,73129,94245,17575,29,0,3,1,0,285,0,6,282,253,0,0,0,1,0,0,300,0,0,28,9,728,4,22,11,15,340,3360,58,0,0,0,56,9,12,0,1577,19,110,15,0,612,79,78,0,0,31,806,0,41,52,1,8,0,5,65,3510,87,39,17,0,0,2,7,159,0,250,2,87,2,0,2,44,0,0,168,17,6,8,18,0,0,9,31,11,228,10,0,0,489,1,0,0,26,724,0,0,2,1155,48,0,0,0,79,0,0,55,36,12,23,96,0,0,0,471,5,0,0,0,21,62,6,0,1,1,0,0,0,9,3,65,0,0,0,0,2,3,0,0,0,0,1,0,0,1,0,35,7,0,0,0,0,3,0,0,7,0,0,2,0,42,0,0,0,0,3,0,0,2,0,0,0,0,0,10,0,0,0,1,6,0,37,20,3,4
QC:javacc,0,ERROR,11,2,24.4,206,3349,6183,2827,11.2,5017,5017,5016,0,0.0,214,675300,25,738,54,9325,26.4,0,13743,0,25.7,0=85;5=30;10=14;20=20;30=25;60=12;90=9,195,3.0,1=1080;2=293;4=68;6=59;8=53;10=21;12=77,1686,20,0.0,35340,15059,1675,1773,25,25,22510,java=22510,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,3693,25,0,25,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"11";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"3693";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},[{"key":"java-sonar-way-04122";"language":"java";"name":"Sonar way";"rulesUpdatedAt":"2017-03-16T16:05:56+0000"}],5.0,35,0,4.0,4510,7.0,47508,2.0,12440,15059,3693,342,0,23,2,38,30,0,3,28,11,1,0,0,9,0,0,54,0,82,5,204,81,10,5,2,18,85,20,289,0,0,0,1,0,337,3,17,0,8,71,0,23,32,77,0,2,169,240,4,19,23,2,10,0,8,75,20,1,0,3,0,0,4,5,92,0,14,0,24,2,0,0,9,0,20,66,0,0,0,21,0,0,10,0,7,54,0,0,0,163,0,4,0,60,0,0,1,0,427,4,0,0,0,100,0,0,23,0,1,6,0,0,0,3,178,37,85,0,0,5,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,48,0,0,0,0,0,0,7,13,3,0
QC:jboss,11,ERROR,1329,412,9.8,7756,40235,57089,99118,15.0,75690,75690,74460,0,0.0,4124,16843110,1249,4380,1330,96779,10.0,38,0,0,11.1,0=3456;5=1275;10=1023;20=420;30=424;60=113;90=93,6804,1.5,1=32111;2=6854;4=1938;6=766;8=375;10=221;12=424,50851,835,0.0,972352,275549,21846,14056,1246,1246,561437,java=561437,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,43,42190,1249,3027,1249,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"1329";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"42190";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},[{"key":"java-sonar-way-04122";"language":"java";"name":"Sonar way";"rulesUpdatedAt":"2017-03-16T16:05:56+0000"}],5.0,5606,0,4.0,20855,4.5,760860,1.0,218394,275549,42190,1543,0,358,17,305,914,0,171,1251,1197,2,0,11,40,3,0,1330,0,3,13,820,1295,71,24,224,7,507,84,487,0,0,6,680,33,36,24,456,77,716,3184,2,277,326,641,0,70,620,1188,0,119,57,241,190,2097,49,1172,112,280,723,292,29,9,21,298,1125,0,83,6,235,4,14,77,339,28,19,3137,108,37,4,116,0,0,1272,3,222,1559,121,0,7,2587,103,4,0,269,112,0,24,10,1170,289,16,0,0,5,2,0,440,26,10,19,967,118,0,180,1026,78,199,23,0,287,516,37,2,20,4,4,1,1,92,70,87,0,0,0,24,1,31,14,23,0,0,0,0,0,3,0,66,51,4,0,0,7,0,11,1,15,2,0,1,0,86,0,6,1,2,44,1,0,1,5,28,0,0,3,63,3,0,0,0,16,0,60,52,1092,0
QC:jchempaint,0,ERROR,8,291,17.3,2141,18073,36744,47512,18.2,37095,37095,36907,0,0.0,947,6410010,203,5917,693,67909,18.1,0,0,0,18.2,0=719;5=426;10=430;20=151;30=195;60=56;90=65,2042,2.0,1=13344;2=2437;4=762;6=340;8=222;10=89;12=375,18440,179,0.0,374710,142858,9679,7737,203,203,213667,java=213667,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,18550,203,0,203,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"8";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"18550";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},[{"key":"java-sonar-way-04122";"language":"java";"name":"Sonar way";"rulesUpdatedAt":"2017-03-16T16:05:56+0000"}],5.0,2193,0,4.0,2075,4.3,275112,1.0,122098,142858,18550,186,0,44,4,38,386,0,130,426,102,0,0,1,8,0,0,693,0,5,11,65,2157,73,20,127,9,416,18,493,0,0,5,258,9,65,17,1383,23,162,333,0,79,147,569,1,22,3028,399,0,199,78,21,89,30,81,1396,18,94,161,38,0,2,3,97,315,3,23,1,89,5,5,8,69,0,0,423,72,65,2,36,0,0,3,8,10,350,3,0,18,498,3,1,0,59,8,1,5,1,163,2,1,0,0,3,0,0,195,211,2,0,1,0,1,35,925,53,19,0,1,66,41,0,9,7,2,3,0,3,9,82,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,104,39,8,0,0,0,8,1,0,6,0,0,141,0,7,0,0,0,0,4,0,0,15,0,0,0,0,0,5,0,0,0,0,1,0,31,45,171,1
QC:jedit,0,ERROR,92,223,21.8,1015,14912,23207,31794,22.5,22117,22117,21759,0,0.0,519,3285450,38,620,89,7259,4.1,0,0,0,41.7,0=121;5=77;10=95;20=69;30=85;60=31;90=53,531,3.1,1=3523;2=1730;4=698;6=326;8=192;10=116;12=288,7129,171,0.0,177199,63388,9492,5190,38,38,109515,java=109515,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,15464,38,0,38,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"92";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"15464";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},[{"key":"java-sonar-way-04122";"language":"java";"name":"Sonar way";"rulesUpdatedAt":"2017-03-16T16:05:56+0000"}],5.0,2520,0,4.0,3915,4.1,134919,1.0,51685,63388,15464,329,0,22,1,47,104,0,49,131,20,2,0,1,0,0,0,89,0,168,15,253,5110,76,32,109,69,346,46,456,0,0,4,50,4,352,4,500,20,56,70,0,28,97,214,0,7,776,151,6,79,28,14,25,9,173,298,149,3,22,19,3,115,10,13,207,1,217,0,9,0,8,1,211,0,8,339,26,3,1,37,1,0,78,1,10,100,16,0,1,171,72,3,0,71,122,2,11,1,1924,8,1,0,3,7,0,1,420,11,9,69,0,4,27,21,361,53,47,0,5,42,24,0,0,10,0,2,0,0,0,7,58,0,0,0,6,1,1,0,1,0,0,0,0,0,1,0,7,14,0,0,0,4,0,1,0,2,0,0,0,0,8,0,1,0,0,4,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,63,4,40,6
QC:jena,0,ERROR,33,67,15.1,1079,8044,11886,51008,43.7,16330,16330,15571,0,0.0,342,1973220,48,850,73,6740,4.1,0,13291,0,17.9,0=389;5=180;10=140;20=73;30=72;60=26;90=34,914,1.6,1=5199;2=1668;4=405;6=157;8=90;10=48;12=106,9496,123,0.0,165153,36419,3184,4763,48,48,65774,java=65774,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,8445,48,0,48,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"33";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"8445";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},[{"key":"java-sonar-way-04122";"language":"java";"name":"Sonar way";"rulesUpdatedAt":"2017-03-16T16:05:56+0000"}],5.0,589,0,4.0,4885,5.7,111952,2.0,29959,36419,8445,334,0,115,28,66,134,0,44,153,36,1,5,71,13,7,3,73,0,29,9,166,504,0,34,6,10,130,16,453,0,0,1,30,103,140,48,367,2,33,49,0,159,386,239,17,6,1078,237,0,49,24,1,55,45,14,176,57,0,66,7,7,37,20,7,88,0,90,0,30,1,0,0,6,7,6,137,26,7,1,46,0,0,11,0,12,78,7,0,0,81,0,1,0,70,32,3,15,1,1265,21,0,0,0,0,0,0,99,1,2,20,47,0,6,6,161,26,148,33,5,98,17,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,2,0,81,0,1,6,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,13,0,0,0,0,1,0,31,11,1,6
QC:jext,0,ERROR,24,65,15.6,757,6850,13384,12371,17.1,11812,11812,11673,0,0.0,562,1804800,59,596,150,18899,18.8,0,0,0,20.4,0=254;5=96;10=80;20=44;30=60;60=20;90=25,579,3.0,1=2270;2=800;4=316;6=141;8=66;10=39;12=141,3911,29,0.0,100732,37065,4674,1896,59,59,60160,java=60160,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,7185,59,0,59,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"24";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"7185";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},[{"key":"java-sonar-way-04122";"language":"java";"name":"Sonar way";"rulesUpdatedAt":"2017-03-16T16:05:56+0000"}],5.0,1303,0,4.0,3220,5.0,89478,1.0,32574,37065,7185,270,0,16,1,27,124,0,3,123,29,1,0,1,2,0,0,150,0,206,8,137,504,53,84,19,67,162,7,69,0,0,5,5,5,25,21,182,1,135,45,0,15,57,159,0,3,176,176,6,70,37,47,28,10,15,246,7,19,22,14,0,0,6,76,299,1,392,1,13,1,7,0,254,0,6,354,24,10,0,52,1,0,17,1,5,106,6,13,4,77,0,0,0,102,5,0,5,1,493,3,2,1,0,101,0,1,389,6,22,41,0,3,0,16,460,23,38,0,0,79,6,0,0,2,4,0,0,0,0,11,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,14,0,1,0,0,0,0,21,0,0,1,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,86,6,127,0
QC:jFin_DateMath,0,WARN,0,22,9.5,121,603,582,1691,16.0,1153,1153,1153,0,0.0,91,267090,26,51,18,1483,8.8,0,0,0,9.5,0=54;5=28;10=23;20=7;30=8;60=1;90=0,121,1.4,1=673;2=85;4=21;6=4;8=4;10=4;12=5,818,18,0.0,16807,4661,282,250,26,26,8903,java=8903,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,641,26,0,26,{"level":"WARN";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"0";"level":"OK"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"641";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},[{"key":"java-sonar-way-04122";"language":"java";"name":"Sonar way";"rulesUpdatedAt":"2017-03-16T16:05:56+0000"}],4.0,275,0,4.0,220,3.6,9611,1.0,3631,4661,641,16,0,3,0,3,19,0,2,25,4,0,0,0,0,0,0,18,0,0,0,6,4,0,0,1,0,8,0,0,0,0,0,2,0,0,2,119,1,4,4,0,0,0,4,0,0,5,83,0,3,1,1,2,0,0,34,0,0,18,0,0,0,0,4,1,0,1,0,2,0,0,0,0,0,0,68,5,0,0,2,0,0,0,9,0,1,0,0,0,47,0,0,0,0,0,0,0,1,6,0,0,0,0,12,0,0,29,10,0,5,20,0,0,0,6,0,6,0,0,7,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,4,0
QC:jfreechart,0,ERROR,188,715,21.6,1037,5391,17332,53411,27.2,22442,22442,22388,0,0.0,2087,4291860,69,1092,326,27855,8.9,0,0,0,22.7,0=211;5=319;10=164;20=87;30=124;60=40;90=44,989,1.9,1=8123;2=1843;4=564;6=264;8=131;10=70;12=209,11778,356,0.0,314257,92753,2567,1510,69,69,143062,java=143062,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,6708,69,0,69,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"188";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"6708";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},[{"key":"java-sonar-way-04122";"language":"java";"name":"Sonar way";"rulesUpdatedAt":"2017-03-16T16:05:56+0000"}],5.0,7745,0,4.0,6130,2.3,96802,1.0,75949,92753,6708,602,0,29,0,5,134,0,5,214,92,0,0,0,1,0,0,326,0,1,8,18,243,1,3,17,0,190,278,7,0,0,0,1,0,0,5,13,114,4,58,0,2,3,184,0,0,22,189,0,66,14,0,21,2,196,33,278,63,78,4,0,0,0,567,33,0,19,1,17,0,0,0,39,0,0,1018,6,0,0,25,0,0,1,2,71,11,4,0,0,251,0,0,0,1,3,0,187,0,517,2,0,0,0,0,3,0,82,385,0,1,0,0,0,0,254,3,5,0,0,5,48,7,0,10,0,0,0,0,0,43,61,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,28,2,0,0,0,0,4,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,4,0,4,0
QC:jgraph,0,ERROR,9,203,25.0,295,2134,8366,12407,28.1,7362,7362,7113,0,0.0,353,954540,34,100,56,2828,4.8,0,0,0,38.7,0=43;5=34;10=40;20=17;30=30;60=7;90=19,190,2.5,1=1629;2=552;4=200;6=109;8=63;10=49;12=84,2838,84,0.0,59242,20809,1593,538,34,34,31818,java=31818,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,2577,34,0,34,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"9";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"2577";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},[{"key":"java-sonar-way-04122";"language":"java";"name":"Sonar way";"rulesUpdatedAt":"2017-03-16T16:05:56+0000"}],4.0,3051,0,4.0,3235,3.5,33399,1.0,16331,20809,2577,240,0,44,0,37,26,0,11,44,11,0,0,0,0,0,0,56,0,4,8,118,138,3,6,28,0,106,23,80,0,0,0,6,0,3,0,188,10,14,16,0,1,15,8,0,0,11,32,0,24,25,0,4,10,4,13,27,6,57,0,0,2,2,38,94,0,3,0,19,0,5,0,119,0,0,89,32,1,0,19,0,0,9,1,3,71,11,0,0,13,0,0,0,36,5,0,0,2,46,3,2,0,0,0,0,0,120,54,0,0,4,2,0,4,232,3,73,0,0,4,10,1,0,0,1,2,0,0,0,43,79,0,0,0,17,0,0,4,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,1,0,0,0,0,2,0,59,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,1,0,7,0
QC:jgraphpad,0,ERROR,3,57,11.6,374,2360,4548,5023,17.2,4329,4329,4224,0,0.0,316,726240,22,100,35,2933,6.7,0,0,0,14.4,0=178;5=43;10=35;20=8;30=17;60=9;90=11,301,2.3,1=1104;2=369;4=124;6=63;8=30;10=14;12=50,1804,78,0.0,43916,15536,1221,932,22,22,24208,java=24208,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,2550,22,0,22,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"3";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"2550";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},[{"key":"java-sonar-way-04122";"language":"java";"name":"Sonar way";"rulesUpdatedAt":"2017-03-16T16:05:56+0000"}],4.0,500,0,4.0,1605,4.9,35788,1.0,11982,15536,2550,133,0,32,0,21,56,0,0,64,46,0,0,1,3,1,0,35,0,1,3,49,160,20,9,12,0,57,0,121,0,0,1,5,0,3,10,290,1,23,11,0,4,126,142,0,0,29,62,0,15,7,0,9,2,4,69,0,3,78,9,0,1,2,56,102,0,0,0,25,16,1,1,83,0,0,167,15,8,0,4,1,0,3,1,1,20,5,0,1,23,0,0,0,9,1,0,0,1,60,1,0,0,0,0,0,0,32,35,0,4,0,1,0,20,143,10,24,0,0,2,11,0,0,1,4,0,0,1,0,0,7,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,14,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0,1
