"issueName","mannWhitneyPvalue","shapiroWilkPvalue","kendallPvalue","kendallTau","pearsonPvalue","pearsonCor"
"squid.S1067",5.78917761412573e-26,2.75164283251925e-39,0.00347582806302263,0.129597145514695,0.00231806895374551,0.14502802800853
"squid.S1068",1.65882963816417e-32,1.79995442878052e-40,0.0058680579428807,0.122878706183764,0.0140243657101457,0.117178874350304
"squid.S1118",6.42976474714144e-32,5.16907587448422e-39,0.264339528310873,-0.0499978177689193,0.230526490304174,-0.05734172003051
"squid.S1125",9.34297580645573e-38,6.12221327353244e-41,0.425669275123589,-0.0356004004620264,0.752386992743411,-0.015099875757887
"squid.S1126",4.20525569332354e-34,1.08086376126998e-39,0.797373082367591,-0.0114808233319958,0.6953097159759,-0.0187446955292459
"squid.S1132",4.33109429731646e-34,8.83430862294111e-42,0.000562682155413578,0.153681422216103,1.21613123819691e-08,0.267708728329361
"squid.S1133",1.94320630547131e-39,1.29886155784168e-41,0.0590283872339433,0.0844680762867538,0.104969238488729,0.0774814339651037
"squid.S1135",3.35884896162871e-41,1.39665157773562e-41,0.313369682638573,0.0452084554908612,0.0450627150991346,0.0957021928654546
"squid.S1141",2.15548739700455e-38,3.3303591628966e-41,0.0445456036195104,0.0898204321739182,0.420311154080385,0.0385582568149286
"squid.S1143",4.08641449408007e-41,1.26807470343694e-41,0.142303890275721,-0.0657387253846046,0.299349255251571,-0.0496439126680044
"squid.S1147",5.72125486251454e-43,3.12381762685349e-42,0.256053589643884,0.050929891991687,0.564985007829659,0.0275381758869214
"squid.S1148",6.58385158101207e-21,6.62303137392912e-39,7.71207430347579e-06,0.197081622023356,0.00294168338101801,0.141617955846943
"squid.S1149",8.1022158757418e-10,1.32817178049028e-37,0.00226323837310408,0.132687218763887,0.00449161485956454,0.135373733878115
"squid.S1150",5.72125486251454e-43,3.12381762685349e-42,0.423655285010111,0.0358777376783544,0.988778952486313,0.000673155410569189
"squid.S1151",1.37220359815889e-35,3.13897334535651e-41,0.859740791662218,0.00789591796289133,0.772042055051983,0.0138657255905347
"squid.S1153",5.72125486251454e-43,3.12381762685349e-42,0.133865825544783,0.0672192096732388,0.255343460442906,0.0544031963632735
"squid.S1155",1.48224021801461e-25,3.59675198957016e-38,1.37087216193696e-05,0.192850864310862,2.76839087714174e-09,0.278875470572726
"squid.S1158",5.72125486251454e-43,3.12381762685349e-42,0.464704613847349,-0.0327848292578066,0.584165925097074,-0.026191865065783
